Kyiv,A,10
Kyiv,B,15
Kyiv,C,20
Kyiv,D,25
Kyiv,E,30
Kyiv,F,35
Kyiv,G,40
Kyiv,H,45
Kyiv,I,50
Kyiv,J,55
Kyiv,K,60

A,B,12
A,C,14
A,D,18
A,E,22
A,F,25
A,G,28
A,H,30
A,I,33
A,J,35
A,K,38

B,C,11
B,D,16
B,E,20
B,F,23
B,G,26
B,H,29
B,I,33
B,J,37
B,K,40

C,D,10
C,E,14
C,F,18
C,G,22
C,H,26
C,I,30
C,J,34
C,K,38

D,E,12
D,F,17
D,G,21
D,H,25
D,I,29
D,J,33
D,K,37

E,F,11
E,G,16
E,H,21
E,I,25
E,J,30
E,K,34

F,G,10
F,H,14
F,I,19
F,J,23
F,K,28

G,H,9
G,I,15
G,J,20
G,K,26

H,I,11
H,J,17
H,K,22

I,J,12
I,K,18

J,K,14
